review_id,utterance_id,row_id,source,original_category,decision,input,candidate_annotation,notes,score_correct,score_incorrect,score_ambiguous,score_unsure
R001,U006,2369,recon_full_comp_preserve_final_seed3407,wrong_label,correct,he tell him .,he tell [:: tells] [* m:03s:a] him .,,x,,,
R002,U013,2207,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,he came t(o) .,he came t(o).,,x,,,
R003,U004,4471,gold,gold_reference,correct,&-uh cry .,&-uh cry.,,x,,,
R004,U003,5080,gold,gold_reference,correct,what's this +/.,what's this +/ .,,x,,,
R005,U028,1705,gold,gold_reference,correct,and the elephant was walking and close hims eyes .,and the elephant was walking and close [:: closed] [* m:0ed] hims [: his] [* s:r:gc:pro] eyes .,,x,,,
R006,U034,1655,recon_full_comp_preserve_final_seed3407,wrong_label,correct,so &-um he dived under the water and got the ball and give it back to her .,so &-um he dived under the water and got the ball and give [:: gave] [* m:base:ed] it back to her .,,x,,,
R007,U025,1395,gold,gold_reference,correct,then it &-um fly at the sky .,then it &-um fly [:: flies] [* m:03s:a] at [:: to] [* s:r:prep] the sky .,,x,,,
R008,U038,1370,gold,gold_reference,correct,and he have lots of balloo(n) .,and he have [:: has] [* m:vun:a] lots of balloo(n) .,,x,,,
R009,U039,1823,gold,gold_reference,correct,then he hurt hisself .,then he hurt hisself [: himself] [* s:r:der] .,,x,,,
R010,U011,1872,gold,gold_reference,correct,and then her have a owie .,and then her [:: she] [* s:r:gc:pro] have [* m:vun:a] a [* m:allo] owie .,MISSING_RECONSTRUCTION: and then her [:: she] [* s:r:gc:pro] have [:: has] [* m:vun:a] a [:: an] [* m:allo] owie .,x,,,
R011,U036,1702,gold,gold_reference,correct,he tried to fly it high so it could be more like a airplane .,he tried to fly it high so it could be more [!] like a [:: an] [* m:allo] airplane .,,x,,,
R012,U040,1282,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,and then they scoop a sand and make a sandcastle and pour some sand .,and then they scoop a sand and make a sandcastle and pour some sand .,MISSING_ERROR: and then they scoop a [* s:r:gc:det] sand and make a sandcastle and pour some sand .,,x,,
R013,U031,1383,recon_full_comp_preserve_final_seed3407,wrong_label,correct,and he eated all he stuff .,and he eated [: ate] [* m:=ed] all he [* s:r:gc:pro] stuff .,MISSING_RECONSTRUCTION: and he eated [: ate] [* m:=ed] all he [:: his] [* s:r:gc:pro] stuff .,x,,,
R014,U007,1485,gold,gold_reference,correct,the elephant slip .,the elephant slip [:: slipped] [* m:03s:a] .,WRONG_RECONSTRUCTION: the elephant slip [:: slips] [* m:03s:a] .,x,,,
R015,U012,1830,recon_full_comp_preserve_final_seed3407,false_negative,invalid_multiple,on the pools .,on the pools .,CONTEXT_DEPENDENT,x,,x,
R016,U032,1762,recon_full_comp_preserve_final_seed3407,wrong_label,correct,so he got a &+nn and then she cried because nothing can be doed about it .,so he got a &+nn and then she cried because nothing can be doed [: done] [* m:=en] about it .,,x,,,
R017,U035,1840,gold,gold_reference,incorrect,and they drive and drive .,and they drive [: drove] [* m:=ed] and drive [: drove] [* m:=ed] .,CORRECT_RECONSTRUCTION: and they drive [: drove] [* m:base:ed] and drive [: drove] [* m:base:ed] .,,x,,
R018,U021,4502,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,the giraffe was smiling and the elephant +...,the giraffe was smiling and the elephant +...,,x,,,
R019,U024,1729,gold,gold_reference,correct,and so they jumped and jumped tried to pedal .,and so they jumped and jumped tried [:: trying] [* m:+ed] [* m:0ing] to pedal .,,x,,,
R020,U023,1343,gold,gold_reference,correct,and so he felleded down again .,and so he felleded [: fell] [* m:++ed:i] down again .,,x,,,
R021,U010,4817,recon_full_comp_preserve_final_seed3407,wrong_label,correct,and it hurt his leg .,and it hurt [:: hurts] [* m:03s:a] his leg .,,x,,,
R022,U012,1830,gold,gold_reference,invalid_multiple,on the pools .,on [:: in] [* s:r:prep] the pools .,CONTEXT_DEPENDENT,x,,x,
R023,U028,1705,recon_full_comp_preserve_final_seed3407,wrong_label,invalid_multiple,and the elephant was walking and close hims eyes .,and the elephant was walking and close [:: closing] [* m:0ing] his eyes .,CONTEXT_DEPENDENT,x,,x,
R024,U005,5640,recon_full_comp_preserve_final_seed3407,false_positive,correct,then rabbit do n(o)t want a balloon .,then rabbit do [:: does] [* m:03s:a] not want a balloon .,,x,,,
R025,U029,1841,gold,gold_reference,correct,so he was started to be &+eh always day or long .,so he was started [:: starting] [* m:0ing] [* m:+ed] to be &+eh always day or long .,,x,,,
R026,U025,1395,recon_full_comp_preserve_final_seed3407,wrong_label,invalid_multiple,then it &-um fly at the sky .,then it &-um fly at [:: in] [* s:r:prep] the sky .,PARTIAL_MISSING: then it &-um fly [:: flies] [* m:03s:a] at [:: in] [* s:r:prep] the sky .,x,x,,
R027,U029,1841,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,so he was started to be &+eh always day or long .,so he was started to be &+eh always day or long .,so he was started [:: starting] [* m:0ing] [* m:+ed] to be &+eh always day or long .,,x,,
R028,U041,1636,recon_full_comp_preserve_final_seed3407,wrong_label,correct,her gots it .,her [:: she] [* s:r:gc:pro] gots [:: has got] [* m:allo] it .,,x,,,
R029,U017,6415,gold,gold_reference,correct,then they're thinking of letting +//.,then they're thinking of letting +// .,,x,,,
R030,U042,1874,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,(.) she's face is like .,(.) she's face is like .,(.) she's [:: her] [* s:r:gc:pro] face is like .,,x,,
R031,U033,1928,gold,gold_reference,correct,he spilled all his food .,he spilled [: spilt] [* m:=ed] all his food .,,x,,,
R032,U032,1762,gold,gold_reference,incorrect,so he got a &+nn and then she cried because nothing can be doed about it .,so he got a &+nn and then she cried because nothing can be doed [: done] [* m:=ed] about it .,so he got a &+nn and then she cried because nothing can be doed [: done] [* m:=en] about it .,,x,,
R033,U014,6569,gold,gold_reference,incorrect,then he grabbed where there's two cookies .,then he grabbed where there's two cookies .,then he grabbed where there's [:: are] [* m:vsg:a] two cookies .,,x,,
R034,U030,1568,recon_full_comp_preserve_final_seed3407,wrong_label,invalid_multiple,he was mad (be)cause those box of cookies fall down .,he was mad (be)cause those box of cookies fall [:: fell] [* m:base:ed] down .,PARTIAL_MISSING: he was mad (be)cause those box [:: boxes] [* m:0s:a] of cookies fall [:: fell] [* m:base:ed] down .,x,x,,
R035,U003,5080,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,what's this +/.,what's this +/.,,x,,,
R036,U011,1872,recon_full_comp_preserve_final_seed3407,wrong_label,correct,and then her have a owie .,and then her [:: she] [* s:r:gc:pro] have [:: has] [* m:vun:a] a [:: an] [* m:allo] owie .,,x,,,
R037,U043,4494,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,"the elephant was staring at the airplane , how the giraffe couldn't make it go up .","the elephant was staring at the airplane, how the giraffe couldn't make it go up .","the elephant was staring at the airplane, how [:: that] [* s:r:gc:pro] the giraffe couldn't make it go up .",,x,,
R038,U016,4465,gold,gold_reference,correct,but she was very trifle .,but she was very trifle.,,x,,,
R039,U035,1840,recon_full_comp_preserve_final_seed3407,false_negative,correct,and they drive and drive .,and they drive and drive .,,x,,,
R040,U001,1960,gold,gold_reference,incorrect,and it tire .,and it tire .,and it tire [:: tires] [* m:03s:a] .,,x,,
R041,U015,2011,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,the bunny's +...,the bunny's +...,,x,,,
R042,U041,1636,gold,gold_reference,correct,her gots it .,her [:: she] [* s:r:gc:pro] gots [:: has got] [* m:allo] [!] it .,,x,,,
R043,U022,6224,recon_full_comp_preserve_final_seed3407,false_positive,correct,and she gets a banand he take one out daid on it .,and she gets a banand he take [:: takes] [* m:03s:a] one out daid on it .,,x,,,
R044,U019,2582,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,the kangaroo thinks the rabbit's silly .,the kangaroo thinks the rabbit's silly .,,x,,,
R045,U026,4757,gold,gold_reference,correct,then he just give it to the boy who had it .,then he just give [:: gave] [* m:03s:a] it to the boy who had it .,WRONG_RECONSTRUCTION: then he just give [:: gives] [* m:03s:a] it to the boy who had it .,x,,,
R046,U036,1702,recon_full_comp_preserve_final_seed3407,wrong_label,correct,he tried to fly it high so it could be more like a airplane .,he tried to fly it high so it could be more like a [:: an] [* m:allo] airplane .,,x,,,
R047,U005,5640,gold,gold_reference,incorrect,then rabbit do n(o)t want a balloon .,then rabbit do n(o)t want a balloon .,then rabbit do [:: does] [* m:03s:a] not want a balloon .,,x,,
R048,U037,1751,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,once upon a time there's a little bloy .,once upon a time there's a little bloy .,once upon a time there's [:: was] [* m:base:ed] a little bloy [: boy] .,,x,,
R049,U010,4817,gold,gold_reference,correct,and it hurt his leg .,and it [:: he] [* s:r:gc:det] hurt [:: hurts] [* m:03s:a] his leg .,CONTEXT_DEPENDENT,x,,,
R050,U030,1568,gold,gold_reference,correct,he was mad (be)cause those box of cookies fall down .,he was mad (be)cause those box [* m:0s:a] of cookies fall [:: fell] [* m:base:ed] down .,,x,,,
R051,U040,1282,gold,gold_reference,correct,and then they scoop a sand and make a sandcastle and pour some sand .,and then they scoop a [* s:r:gc:det] sand and make a sandcastle and pour some sand .,,x,,,
R052,U034,1655,gold,gold_reference,correct,so &-um he dived under the water and got the ball and give it back to her .,so &-um he dived [: dove] [* m:=ed] under the water and got the ball and give [:: gave] [* m:base:ed] it back to her .,,x,,,
R053,U019,2582,gold,gold_reference,correct,the kangaroo thinks the rabbit's silly .,(..) the kangaroo thinks the rabbit's silly .,,x,,,
R054,U042,1874,gold,gold_reference,correct,(.) she's face is like .,(.) she's [:: her] [* s:r:gc:pro] face is like [^ makes face] .,,x,,,
R055,U006,2369,gold,gold_reference,correct,he tell him .,he tell [:: told] [* m:03s:a] him .,WRONG_RECONSTRUCTION: he tell [:: told] [* m:03s:a] him .,x,,,
R056,U024,1729,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,and so they jumped and jumped tried to pedal .,and so they jumped and jumped tried to pedal .,and so they jumped and jumped tried [:: trying] [* m:+ed] [* m:0ing] to pedal .,,x,,
R057,U001,1960,recon_full_comp_preserve_final_seed3407,false_positive,correct,and it tire .,and it tire [:: tires] [* m:03s:a] .,,x,,,
R058,U002,6123,gold,gold_reference,invalid_multiple,a long time elephant can t do it .,a long time elephant can (no)t do it .,CONTEXT_DEPENDENT,x,,x,
R059,U018,3207,recon_full_comp_preserve_final_seed3407,false_positive,correct,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to [:: into] [* s:r:prep] apartment building .,,x,,,
R060,U044,2003,gold,gold_reference,invalid_multiple,and then the doggy ran to the doctor bunny to help .,and then the doggy ran to the doctor bunny to [:: for] [* s:r:prep] help .,CONTEXT_DEPENDENT,x,,x,
R061,U039,1823,recon_full_comp_preserve_final_seed3407,wrong_label,correct,then he hurt hisself .,then he hurt [:: hurts] [* m:03s:a] hisself [: himself] [* s:r:der] .,,x,,,
R062,U009,1429,recon_full_comp_preserve_final_seed3407,false_negative,invalid_multiple,and the puppy and the &+ki kitty and the is sick .,and the puppy and the &+ki kitty and the is sick .,CONTEXT_DEPENDENT,x,,x,
R063,U044,2003,recon_full_comp_preserve_final_seed3407,false_negative,invalid_multiple,and then the doggy ran to the doctor bunny to help .,and then the doggy ran to the doctor bunny to help .,CONTEXT_DEPENDENT,x,,x,
R064,U002,6123,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,invalid_multiple,a long time elephant can t do it .,a long time elephant can t do it .,CONTEXT_DEPENDENT,x,,x,
R065,U043,4494,gold,gold_reference,correct,"the elephant was staring at the airplane , how the giraffe couldn't make it go up .","the elephant was staring at the airplane , how [:: that] [* s:r:gc:pro] the giraffe couldn't make it go up .",,x,,,
R066,U037,1751,gold,gold_reference,correct,once upon a time there's a little bloy .,once upon a time there's [:: was] [* m:base:ed] a little bloy [: boy] .,,x,,,
R067,U008,1414,recon_full_comp_preserve_final_seed3407,wrong_label,correct,oh it's flied !,oh it's flied [: flown] [* m:=en] !,,x,,,
R068,U008,1414,gold,gold_reference,incorrect,oh it's flied !,oh it's flied [: flew] [* m:=ed] !,oh it's flied [: flown] [* m:=en] !,,x,,
R069,U021,4502,gold,gold_reference,correct,the giraffe was smiling and the elephant +...,the giraffe was smiling and the elephant + ...,,x,,,
R070,U013,2207,gold,gold_reference,correct,he came t(o) .,he came t(o) .,,x,,,
R071,U020,4771,gold,gold_reference,correct,I don't know what +...,I don't know what + ...,,x,,,
R072,U007,1485,recon_full_comp_preserve_final_seed3407,wrong_label,correct,the elephant slip .,the elephant slip [:: slips] [* m:03s:a] .,,x,,,
R073,U015,2011,gold,gold_reference,correct,the bunny's +...,the bunny's + ...,,x,,,
R074,U018,3207,gold,gold_reference,invalid_multiple,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to [:: into] [* s:r:prep] apartment building .,,x,x,
R075,U017,6415,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,then they're thinking of letting +//.,then they're thinking of letting +//.,,x,,,
R076,U027,4753,gold,gold_reference,correct,and he needta do something .,and he needta [:: needs] [* m:03s:a] do something .,and he needta [:: needs to] [* m:03s:a] do something .,x,,,
R077,U033,1928,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,he spilled all his food .,he spilled all his food .,he spilled [: spilt] [* m:=ed] all his food .,,x,,
R078,U031,1383,gold,gold_reference,correct,and he eated all he stuff .,and he eated [: ate] [* m:=ed] [* m:=ed] all he stuff .,and he eated [: ate] [* m:=ed] all he stuff .,x,,,
R079,U016,4465,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,invalid_multiple,but she was very trifle .,but she was very trifle .,CONTEXT_DEPENDENT,x,,x,
R080,U023,1343,recon_full_comp_preserve_final_seed3407,wrong_label,correct,and so he felleded down again .,and so he felleded [: fell] [* m:++ed] down again .,,x,,,
R081,U038,1370,recon_full_comp_preserve_final_seed3407,wrong_label,correct,and he have lots of balloo(n) .,and he have [:: has] [* m:vun:a] lots of balloo(n).,,x,,,
R082,U020,4771,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,I don't know what +...,I don't know what +...,,x,,,
R083,U026,4757,recon_full_comp_preserve_final_seed3407,wrong_label,invalid_multiple,then he just give it to the boy who had it .,then he just give [:: gave] [* m:base:ed] it to the boy who had it .,CONTEXT_DEPENDENT,x,,x,
R084,U014,6569,recon_full_comp_preserve_final_seed3407,false_positive,invalid_multiple,then he grabbed where there's two cookies .,then he grabbed where there's [:: are] [* m:vsg:a] two cookies .,CONTEXT_DEPENDENT,x,,x,
R085,U022,6224,gold,gold_reference,correct,and she gets a banand he take one out daid on it .,and she gets a bandaid on it .,,x,,,
R086,U009,1429,gold,gold_reference,invalid_multiple,and the puppy and the &+ki kitty and the is sick .,and the puppy and the &+ki kitty and the is [:: are] [* m:vsg:a] sick .,CONTEXT_DEPENDENT,x,,x,
R087,U027,4753,recon_full_comp_preserve_final_seed3407,false_negative,incorrect,and he needta do something .,and he needta do something .,and he needta [:: needs to] [* m:03s:a] do something .,,x,,
R088,U004,4471,recon_full_comp_preserve_final_seed3407,other_clean_mismatch,correct,&-uh cry .,&-uh cry .,,x,,,
