split,row_id,label,token,reason,input,output_before,output_corrected
train,1890,[* m:03s:a],be,label_specific_exclusion_be_have_family,and then he be mad .,and then he be [* m:03s:a] mad [!] .,and then he be [:: is] [* m:vun:a] mad .
train,1336,[* m:base:ed],has,missing_irregular_mapping,and then the bunny saw what he &+s has done to his friend's sandcastle .,and then the bunny saw what he &+s has [* m:base:ed] done to his friend's sandcastle .,and then the bunny saw what he &+s has [:: had] [* m:base:ed] done to his friend's sandcastle .
train,1494,[* m:base:ed],she'll,non_alpha_token,and she was afraid that she'll hurt herself .,and she was afraid that she'll [* m:base:ed] hurt herself .,and she was afraid that she'll [:: would] [* m:base:ed] hurt herself .
train,1723,[* m:base:ed],she's,non_alpha_token,and she's almost going to slip down when she was running .,and she's [* m:base:ed] almost going to slip down when she was running .,and she's [:: was] [* m:base:ed] almost going to slip down when she was running .
train,1266,[* m:base:ed],is,missing_irregular_mapping,(..) and &-um the doggy pulled her over to where the bunny is .,(..) and &-um the doggy pulled her over to where the bunny is [* m:base:ed] .,(..) and &-um the doggy pulled her over to where the bunny is [:: was] [* m:base:ed] .
train,7804,[* m:03s:a],don't,non_alpha_token,&-uh he don't likes it .,&-uh he don't [* m:03s:a] likes [* m:+3s] it .,&-uh he don't [:: doesn't] [* m:03s:a] likes [:: like] [* m:+3s] it .
train,7810,[* m:03s:a],don't,non_alpha_token,he don't has hat .,he don't [* m:03s:a] has [* m:+3s] hat .,he don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] hat .
train,7807,[* m:03s:a],don't,non_alpha_token,she don't has ball .,she don't [* m:03s:a] has [* m:+3s] ball .,she don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] ball .
train,7812,[* m:03s:a],don't,non_alpha_token,&-um she don't has toy .,&-um she don't [* m:03s:a] has [* m:+3s] toy .,&-um she don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] toy .
train,7802,[* m:03s:a],don't,non_alpha_token,&-um he don't has a cookie .,&-um he don't [* m:03s:a] has [* m:+3s] a cookie .,&-um he don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] a cookie .
train,7947,[* m:base:ed],sleep,missing_irregular_mapping,The baby sleep all afternoon in the crib yesterday .,The baby sleep [* m:base:ed] all afternoon in the crib yesterday .,The baby sleep [:: slept] [* m:base:ed] all afternoon in the crib yesterday .
train,1867,[* m:base:ed],is,missing_irregular_mapping,(...) it fell down and [/] and the customer is real angry: .,(...) it fell down and [/] and the customer is [* m:base:ed] real [:: really] [* s:r:der] angry: .,(...) it fell down and [/] and the customer is [:: was] [* m:base:ed] real [:: really] [* s:r:der] angry: .
train,8001,[* m:base:ed],sleep,missing_irregular_mapping,Last night the child sleep for ten hours .,Last night the child sleep [* m:base:ed] for ten hours .,Last night the child sleep [:: slept] [* m:base:ed] for ten hours .
train,8777,[* m:base:ed],look,missing_irregular_mapping,He look to the dog .,He look [* m:base:ed] to [:: at] [* s:r:prep] the dog .,He look [:: looks] [* m:03s:a] to [:: at] [* s:r:prep] the dog .
eval,1492,[* m:base:ed],is,missing_irregular_mapping,&-um there is a sign that said no running .,&-um there is [* m:base:ed] a sign that said no running .,&-um there is [:: was] [* m:base:ed] a sign that said no running .
eval,1523,[* m:base:ed],won't,non_alpha_token,and he thought it won't sink .,and he thought it won't [* m:base:ed] sink .,and he thought it won't [:: wouldn't] [* m:base:ed] sink .
test,1751,[* m:base:ed],there's,non_alpha_token,once upon a time there's a little bloy .,once upon a time there's [* m:base:ed] a little bloy [: boy] .,once upon a time there's [:: was] [* m:base:ed] a little bloy [: boy] .
eval_coverage,1590,[* m:base:ed],can't,non_alpha_token,then &-um he [//] they can't find it .,then &-um he [//] they can't [* m:base:ed] find it .,then &-um he [//] they can't find it .
test_coverage,7858,[* m:03s:a],don't,non_alpha_token,he don't likes .,he don't [* m:03s:a] likes [* m:+3s] .,he don't [:: doesn't] [* m:03s:a] likes [:: like] [* m:+3s] .